date,open,high,low,close,adjClose,volume
2023-06-27,4057.000000,4075.500000,4051.500000,4071.500000,4035.473389,3477130
2023-06-28,4076.000000,4102.500000,4068.000000,4091.500000,4055.296387,4680185
2023-06-29,4100.000000,4107.474121,4077.000000,4085.000000,4048.854004,3040224
2023-06-30,4080.500000,4109.500000,4070.000000,4097.500000,4061.243408,4426970
2023-07-03,4094.000000,4138.500000,4083.000000,4115.500000,4079.083984,4703131
2023-07-04,4131.500000,4134.000000,4083.500000,4083.500000,4047.367188,2717240
2023-07-05,4090.000000,4105.000000,4069.500000,4077.500000,4041.420410,3509075
2023-07-06,4080.500000,4083.500000,4022.000000,4039.000000,4003.260986,4222553
2023-07-07,4016.500000,4023.500000,3986.000000,3990.500000,3955.190186,4761197
2023-07-10,3990.000000,4011.000000,3983.500000,3996.000000,3960.641357,3270581
2023-07-11,3980.000000,3991.000000,3948.000000,3960.500000,3925.455566,5182689
2023-07-12,3952.000000,3992.500000,3945.500000,3983.500000,3948.251953,6244144
2023-07-13,3989.500000,3989.500000,3964.000000,3974.000000,3938.836182,3381769
2023-07-14,3985.500000,4004.500000,3976.000000,3992.500000,3957.172363,2744830
2023-07-17,4002.000000,4031.000000,4001.000000,4019.500000,3983.933594,2334284
2023-07-18,3999.000000,4018.500000,3997.000000,4015.500000,3979.968994,2497873
2023-07-19,4040.500000,4111.500000,4038.500000,4085.000000,4048.854004,2967418
2023-07-20,4066.500000,4083.332031,4019.000000,4052.000000,4016.145996,5577737
2023-07-21,4056.000000,4084.500000,4044.500000,4082.000000,4045.880371,2809522
2023-07-24,4068.000000,4083.000000,3975.000000,4018.500000,3982.942383,5919387
2023-07-25,4179.000000,4248.290039,4170.710938,4193.000000,4155.898438,5982077
2023-07-26,4197.500000,4199.500000,4159.500000,4184.000000,4146.978027,4736989
2023-07-27,4201.000000,4223.500000,4180.500000,4180.500000,4143.508789,3499153
2023-07-28,4184.000000,4238.500000,4177.500000,4223.500000,4186.128418,7262884
2023-07-31,4223.000000,4228.009766,4191.000000,4191.000000,4153.916016,3019100
2023-08-01,4205.000000,4213.000000,4171.500000,4201.500000,4164.323242,2083158
2023-08-02,4204.000000,4204.000000,4159.000000,4181.500000,4144.500000,3850114
2023-08-03,4145.000000,4181.500000,4088.000000,4121.500000,4121.500000,5010100
2023-08-04,4112.000000,4117.000000,4076.500000,4090.500000,4090.500000,2422339
2023-08-07,4079.500000,4093.099121,4053.500000,4090.500000,4090.500000,2264597
